Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,male,54,0,1,4.360387947851531,S
3,female,22,0,0,2.169053700369523,S
2,male,34,0,0,2.6390573296152584,S
3,male,26,0,0,2.1855792552411137,S
1,male,46,0,0,3.3843902633457743,S
3,female,18,1,0,2.9338568698359038,S
3,male,24,2,0,3.224857896545748,S
2,female,25,0,1,3.295836866004329,S
3,male,24,0,0,2.1076888046179385,C
1,male,42,0,0,3.3064287218760624,S
3,male,7,4,1,3.705920919968788,S
3,male,26,0,0,2.0731719286662407,Q
3,female,23,0,0,2.188856327665703,S
1,male,47,0,0,3.2804411805263554,S
1,male,65,0,0,3.3160025355989236,S
3,female,22,0,0,2.167143305297764,Q
2,male,23,0,0,2.6390573296152584,S
3,male,26,0,0,2.1071782966514356,C
1,male,56,0,0,3.597312260588446,C
3,male,30,1,0,2.8390784635086144,S
3,male,27,1,0,2.737880811060884,C
2,male,52,0,0,2.6390573296152584,S
2,male,25,0,0,2.6390573296152584,S
3,male,35,0,0,2.2027647577118348,S
3,male,40,1,4,3.3638415951183864,S
2,female,41,0,1,3.0204248861443626,S
3,male,26,0,0,2.1855792552411137,S
3,female,22,1,0,2.737880811060884,C
2,female,29,1,0,3.295836866004329,S
3,female,22,1,0,2.738146075922933,C
3,male,35,0,0,2.1855792552411137,C
1,female,30,0,0,3.4657359027997265,C
3,male,33,0,0,2.2682524139135403,C
2,male,59,0,0,2.6741486494265287,S
1,male,51,0,1,4.133231886474144,C
3,male,7,4,1,3.405355391810819,Q
3,male,26,0,0,2.1071782966514356,C
3,female,39,0,5,3.405355391810819,Q
1,female,16,0,0,4.471638793363569,S
1,female,24,0,0,4.432699549165613,C
3,female,9,4,2,3.4742929367327062,S
1,female,33,0,0,4.717456363787216,C
1,male,37,0,1,3.4242626545931514,C
1,male,45,1,0,4.436455632600354,S
3,male,41,0,0,2.094945728215801,S
2,male,28,0,0,2.6741486494265287,S
3,male,26,0,0,2.1855792552411137,S
2,male,28,0,0,2.6390573296152584,S
1,male,43,0,0,5.4316456135398825,C
3,male,21,0,0,2.180891922715322,S
3,male,51,0,0,2.086193694502369,S
3,female,14,1,0,2.737880811060884,C
2,male,28,0,1,3.5263605246161616,S
1,male,62,0,0,3.3160025355989236,S
3,male,40,0,0,2.1855792552411137,S
3,female,22,1,2,3.196630215920881,S
3,female,9,3,2,3.3638415951183864,S
2,female,18,0,1,3.1780538303479458,S
2,female,33,1,2,3.3586377672433594,S
1,male,25,1,0,4.5226490762785785,C
3,female,1,2,1,3.0085645861193133,C
3,male,17,1,1,2.1076888046179385,C
3,male,28,2,0,2.188856327665703,S
3,male,42,0,1,2.2411563979973974,S
2,female,22,1,2,3.7513658711253766,C
3,female,17,4,2,2.188856327665703,S
2,female,40,0,0,2.6390573296152584,S
3,male,19,0,0,2.740840023925201,S
1,female,22,0,0,5.027492411162679,S
1,male,45,0,0,3.3160025355989236,S
2,male,39,0,0,2.6390573296152584,S
3,female,22,2,0,3.188416617383492,Q
3,female,24,0,2,2.8735646395797834,S
3,male,28,0,0,2.1855792552411137,S
3,female,22,0,0,2.169053700369523,Q
1,female,24,0,0,4.252771798816619,C
1,female,44,0,0,3.357621598945279,C
3,male,0,0,1,2.2530481500547457,C
3,male,30,0,0,2.1076888046179385,C
1,male,35,0,0,3.3160025355989236,C
1,male,38,1,0,4.51085950651685,S
3,female,22,0,0,2.4437981558973862,S
3,male,21,0,0,2.174751721484161,S
3,male,18,0,0,2.2300144001592104,S
2,male,29,0,0,2.4423470353692043,S
3,male,25,0,0,2.157559320943788,S
2,male,30,0,0,2.4423470353692043,S
3,male,51,0,0,2.2027647577118348,S
3,female,6,4,2,3.4742929367327062,S
1,female,35,1,0,4.51085950651685,S
2,female,30,3,0,3.091042453358316,S
3,female,22,0,0,2.1837114628556327,Q
1,female,40,1,1,4.908971640319756,C
3,male,40,0,0,2.1071782966514356,C
3,female,22,0,0,2.169053700369523,Q
3,male,16,0,0,2.1719067693519296,S
3,male,35,0,0,2.2027647577118348,S
3,male,16,0,0,2.3513752571634776,S
1,male,54,0,0,3.967694202798607,S
3,male,26,0,0,2.1855792552411137,S
3,female,22,1,1,3.1509523813392697,C
1,male,37,1,1,3.9806942251907276,S
3,female,22,3,1,3.275887339030031,S
2,female,55,0,0,2.833213344056216,S
2,male,36,0,0,2.630088659632498,C
1,male,60,1,1,4.384523514872469,C
3,male,26,1,2,3.0715352369694915,S
1,female,31,0,2,5.11118445372147,S
3,male,21,0,0,2.2027647577118348,S
2,female,21,0,0,2.4423470353692043,S
3,male,20,1,0,2.188856327665703,S
2,female,27,1,0,2.698558631668595,C
1,female,36,0,2,4.276666119016055,S
3,male,26,0,0,2.1076888046179385,C
1,male,28,1,0,4.420896324687287,C
1,male,47,0,0,3.676300671907076,S
1,male,61,0,0,3.5409593240373143,S
1,female,17,1,0,4.060443010546419,S
3,female,13,0,0,2.1076888046179385,C
3,female,22,1,0,2.803360380906535,Q
3,female,4,1,1,2.8735646395797834,S
3,female,33,3,0,2.8243506567983707,S
1,female,39,1,1,4.717456363787216,C
3,female,26,1,0,2.8390784635086144,S
1,female,36,0,0,4.91730069488021,C
3,male,39,0,0,3.224857896545748,S
3,male,21,0,0,2.188856327665703,S
3,male,26,0,0,2.3513752571634776,S
3,male,36,0,0,2.1855792552411137,S
3,male,70,0,0,2.169053700369523,Q
3,female,20,0,0,2.2682524139135403,S
2,male,26,0,0,2.4423470353692043,S
3,male,28,0,0,2.1076888046179385,C
3,male,25,1,0,2.9338568698359038,S
3,male,29,1,0,2.0851502161468174,S
3,male,22,0,0,2.174274334826008,S
2,female,28,1,0,3.295836866004329,S
1,male,45,0,0,3.3160025355989236,S
3,male,26,0,0,2.1855792552411137,S
2,female,50,0,1,3.295836866004329,S
3,male,26,2,0,3.1214482048688246,C
1,male,29,1,0,4.213607983048918,S
3,female,31,0,0,2.270402752283094,S
3,male,12,1,0,2.5048481563289,C
3,male,17,0,0,2.2682524139135403,S
2,female,38,0,0,2.6390573296152584,S
1,female,60,1,0,4.334017415487521,C
3,male,26,1,0,2.803360380906535,Q
1,female,33,0,0,4.384523514872469,C
3,female,21,0,0,2.157559320943788,S
2,male,54,0,0,2.70805020110221,S
1,male,47,0,0,3.5559421706858756,S
3,female,24,0,3,3.0085645861193133,C
2,female,36,0,0,2.6390573296152584,S
2,female,19,0,0,3.295836866004329,S
3,male,41,2,0,2.7152442616824506,S
3,male,26,0,0,2.1855792552411137,S
2,female,2,1,1,3.295836866004329,S
3,male,26,0,0,2.2027647577118348,S
3,male,74,0,0,2.1719067693519296,S
2,male,34,1,0,3.091042453358316,S
3,female,22,0,2,3.1509523813392697,C
3,female,22,0,0,2.169053700369523,Q
3,male,30,0,0,2.2027647577118348,S
2,female,27,0,0,3.5263605246161616,S
1,female,54,1,0,4.100989104940769,C
3,male,9,5,2,3.8691155044168695,S
2,male,24,0,0,2.4423470353692043,S
3,female,22,0,0,2.155151800914312,Q
3,male,44,0,0,2.2027647577118348,S
1,male,43,0,0,3.703768066607687,C
3,female,22,0,0,2.17806441028492,Q
3,male,32,0,0,2.188856327665703,S
1,female,32,0,0,4.347586575960343,C
2,female,54,1,3,3.1780538303479458,S
3,male,2,4,1,3.705920919968788,S
1,female,58,0,0,4.993969182787072,C
3,male,29,0,0,2.2027647577118348,S
3,male,26,0,0,2.1719067693519296,S
3,female,25,0,0,2.1719067693519296,S
1,male,36,0,0,3.3064287218760624,S
1,male,56,0,0,3.3160025355989236,S
1,male,65,0,1,4.142804513146981,C
3,male,36,1,1,3.224857896545748,S
1,female,53,2,0,3.960416900617205,S
2,male,16,0,0,3.295836866004329,S
3,male,2,4,1,3.405355391810819,Q
1,female,33,1,0,4.500966778400217,C
3,male,29,0,0,2.169053700369523,Q
3,female,16,0,0,2.167143305297764,Q
3,female,22,1,0,3.224857896545748,Q
2,female,3,1,2,3.7513658711253766,C
3,male,29,0,0,2.1832383353614797,S
3,female,22,0,2,2.169053700369523,Q
3,male,16,0,0,2.2027647577118348,S
2,male,28,0,0,2.4423470353692043,S
2,male,48,0,0,2.6390573296152584,S
3,male,33,0,0,2.3513752571634776,S
1,female,2,1,2,5.027492411162679,S
3,male,14,4,1,3.705920919968788,S
1,male,1,1,2,5.027492411162679,S
2,female,25,1,1,3.4339872044851463,S
3,male,26,1,0,2.8390784635086144,S
2,male,1,1,1,2.740840023925201,S
3,male,26,0,0,2.803360380906535,Q
2,male,19,1,1,3.6309854756950335,S
3,female,9,1,1,2.7878344138303452,C
1,male,43,0,0,3.4561841799918147,C
3,female,22,0,0,2.169053700369523,Q
3,male,26,0,0,2.1855792552411137,S
3,female,22,0,0,2.1719067693519296,S
2,female,28,1,0,3.2188758248682006,C
3,female,22,0,0,2.169053700369523,Q
2,male,37,1,0,3.295836866004329,S
3,female,26,0,0,2.180891922715322,S
1,female,30,0,0,4.676792929661059,C
2,male,54,0,0,3.295836866004329,S
3,male,26,0,0,2.1661924680884908,Q
2,female,34,0,1,3.1780538303479458,S
2,male,19,0,0,2.4423470353692043,S
2,male,36,1,2,3.3586377672433594,S
3,male,26,0,0,2.2027647577118348,S
3,male,45,0,0,2.2027647577118348,S
3,female,1,0,2,2.817902613071225,C
3,male,26,0,0,2.1676241075599285,Q
3,male,34,0,0,2.2027647577118348,S
2,female,27,0,0,2.5915163848462583,Q
2,female,19,1,0,3.295836866004329,S
3,male,31,0,0,2.1719067693519296,S
1,male,36,1,0,4.380149874661021,S
2,male,30,0,0,2.686571169425086,S
2,male,54,1,0,3.295836866004329,S
3,male,27,0,0,2.1855792552411137,S
1,male,24,0,0,4.384523514872469,C
3,male,24,0,0,2.139571923732859,S
1,female,24,0,0,4.252771798816619,C
2,female,22,1,1,3.4011973816621555,S
3,female,63,0,0,2.3596740599781727,S
3,female,21,2,2,3.5660053559634015,S
3,male,25,1,0,2.1719067693519296,S
3,female,37,0,0,2.3596740599781727,S
3,male,26,0,0,2.17806441028492,Q
3,male,24,0,0,2.0969990034181696,S
3,female,30,0,0,2.169053700369523,Q
1,female,39,1,0,4.041295341132285,S
1,female,48,1,0,3.703768066607687,C
3,female,22,0,0,2.2027647577118348,S
1,female,33,1,0,3.9908341858524357,S
3,male,32,0,0,2.188856327665703,S
3,male,40,0,0,2.169053700369523,Q
3,male,40,1,1,2.803360380906535,Q
1,male,43,0,0,3.3160025355989236,S
3,male,26,1,0,3.0429354648621407,S
2,male,34,0,0,2.6390573296152584,S
2,male,32,1,0,3.436268471383741,C
2,female,14,1,0,3.436268471383741,C
1,male,80,0,0,3.4339872044851463,S
3,male,1,4,1,3.705920919968788,S
3,male,26,0,0,2.1855792552411137,S
3,female,22,1,0,2.803360380906535,Q
1,male,43,0,0,3.58351893845611,S
1,male,22,0,0,4.91730069488021,C
3,male,23,0,0,2.1855792552411137,S
2,female,24,1,2,4.189654742026425,S
2,male,33,0,0,2.5858825671280026,S
1,female,62,0,0,4.394449154672439,C
3,male,26,0,0,2.1855792552411137,S
3,male,26,0,0,2.1855792552411137,S
